cluster,n_up,n_down,n_sig
0_CD4_T_cell_HighvsLowVL_PreART,777,487,1264
10_Memory_CD4_T_helper_HighvsLowVL_PreART,180,121,301
11_Na_ve_B_cell_HighvsLowVL_PreART,366,178,544
12_DNAM1_CD4_T_cell_HighvsLowVL_PreART,189,92,281
13_Transitional_B_cell_HighvsLowVL_PreART,588,405,993
14_CD14hi_CD16_Monocyte_HighvsLowVL_PreART,281,351,632
15_NK_cell_1_HighvsLowVL_PreART,58,69,127
16_Gamma_Delta_1_T_cells_HighvsLowVL_PreART,73,85,158
17_NK_cell_2_HighvsLowVL_PreART,72,94,166
18_DN_T_cell_1_HighvsLowVL_PreART,411,313,724
19_CD14_CD16hi_Monocyte_HighvsLowVL_PreART,129,62,191
1_Memory_CD8_T_cell_HighvsLowVL_PreART,756,371,1127
20_T_reg_HighvsLowVL_PreART,141,201,342
21_Gamma_Delta_2_T_cells_HighvsLowVL_PreART,106,51,157
22_CD69_B_cell_HighvsLowVL_PreART,50,61,111
23_DN_T_cell_2_HighvsLowVL_PreART,29,47,76
24_CD14lo_CD16lo_Monocyte_HighvsLowVL_PreART,187,108,295
25_CD56bright_NK_HighvsLowVL_PreART,41,44,85
26_DN_T_cell_3_HighvsLowVL_PreART,36,37,73
27_GZMK_CD8_T_cell_HighvsLowVL_PreART,10,18,28
28_DN_T_cell_4_HighvsLowVL_PreART,6,16,22
29_DN_T_cell_5_HighvsLowVL_PreART,30,58,88
2_Na_ve_CD4_T_cell_1_HighvsLowVL_PreART,473,180,653
30_DN_T_cell_6_HighvsLowVL_PreART,16,29,45
31_B_cell_HighvsLowVL_PreART,7,9,16
32_Plasmablast_HighvsLowVL_PreART,0,1,1
33_pDC_HighvsLowVL_PreART,3,2,5
3_IL2RB_NK_cell_HighvsLowVL_PreART,381,352,733
4_IgD_IgM_B_cell_HighvsLowVL_PreART,604,366,970
5_Na_ve_CD4_T_cell_2_HighvsLowVL_PreART,433,182,615
6_Na_ve_CD8_T_cell_HighvsLowVL_PreART,307,166,473
7_Memory_CD4_T_cell_HighvsLowVL_PreART,439,317,756
8_CTL-like_HighvsLowVL_PreART,127,88,215
9_TRDV1_CTL-like_HighvsLowVL_PreART,33,35,68
